movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
the-state-that-i-am-fish,Not Available,The State That I Am Fish,en,A film within a film within a film within a fish.,0.624,17-09-2011,27
the-statistical-analysis-of-your-failing-relationship,Not Available,The Statistical Analysis of Your Failing Relationship,en,"The narrator of our story, Nate, an emotionally detached statistician with a penchant for reducing everything to percentages and probabilities, guides us through the relationship of Ben and Sarah, chronicling its chance origins with the algorithm of a dating app. What is the probability of Ben reviving his relationship with Sarah?",0.6,17-04-2015,18
the-steam-engines-of-oz,Not Available,The Steam Engines of Oz,en,"A century after the Wicked Witch, the Emerald City is at the mercy of a once-revered hero, and salvation comes from the wrench of young Victoria Wright. Rediscover old friends and meet new heroes in this new tale set in the Land of Oz.",3.109,8/5/18,79
the-steps,Not Available,The Steps,en,Siblings gather to meet their father's new wife and kids.,2.048,3/6/16,100
the-still-life,Not Available,The Still Life,en,"Fueled by original music by members of Guns N' Roses, Bad Religion, No Doubt, Skid Row, Toad the Wet Sprocket, Hootie & The Blowfish and more... The Still Life tells the story of artist Julian Lamont who struggles to pick up the pieces of his tattered life in this poignant drama. A reclusive alcoholic, Julian creates a new art genre called Destructionism, and his works catapult him into the limelight. But as his success in the art world grows, Julian loses touch with the artist he truly desires to be, and his personal life soon tailspins out of control.",1.767,7/8/07,96
the-stink-of-flesh,Not Available,The Stink of Flesh,en,Nathan and Dexy struggle to maintain an open marriage after a zombie plague has killed the majority of the population. It's up to Nathan to find survivors to pleasure his wife and hot zombies to satisfy his own lust.,2.521,31-05-2005,85
the-stolen-man,Not Available,The Stolen Man,es,"Piñeiro’s sparkling debut film breathlessly follows a clever, capricious young woman as she carefully interweaves friends and lovers into an intricate web of secretive yet often unexpectedly compassionate games. Together with her best friend and fellow tour guide at a rival Buenos Aires historical museum, Piñeiro’s headstrong heroine attempts to tame the unpredictable course of her heart, eccentrically drawing inspiration from Sarmiento’s magnum opus, Facundo. With its grainy 16mm black-and-white cinematography, its political sub- and super-texts and its compelling portrait of impetuous youth, The Stolen Man recalls the alternately sober and sprightly nouvelle vague of Jean Eustache and Jacques Rivette.  [Source -- Harvard Film Archive]",0.6,9/8/07,90
the-stone-2013,Not Available,The Stone,ko,"Coming to grips with the truth that he will never earn a living playing baduk, a young man's chance encounter with a local gangster finds him with a new pupil in this drama about the vastly different past and future of the two men.",0.694,31-08-2013,113
the-stone-roses-made-of-stone,Not Available,The Stone Roses: Made of Stone,en,"A documentary about the English alternative rock band, The Stone Roses. Meadows interweaves archive film, intimate behind-the-scenes footage and never-before-seen material, delivering the definitive account of the band and their music. He was also granted unprecedented access to their rehearsals for the summer 2012 Manchester concerts. A momentous occasion in modern music, these were the first gigs performed by The Stone Roses in 16 years.",2.024,28-05-2013,96
the-stoning-of-soraya-m,Not Available,The Stoning of Soraya M.,en,"A drama set in 1986 Iran and centered on a man, Sahebjam, whose car breaks down in a remote village and enters into a conversation with Zahra, who relays to him the story about her niece, Soraya, whose arranged marriage to an abusive tyrant had a tragic ending.",11.922,26-06-2009,114
