movie_id,vote_average,vote_count
the-musicians-daughter,0,0
australien-skies,5,2
wretch,3.3,3
nieuw,0,0
the-last-will-and-testament-of-rosalind-leigh,5.3,85
tenacious-d-the-complete-masterworks-2,5.6,7
the-otherworld-2016,0,0
nasty-old-people,6.1,13
blue-bustamante,8,1
attenboroughs-life-that-glows,8.2,13
fun-home-2020,0,0
emily-heller-ice-thickeners,6,2
glass-the-perfect-american,0,0
young-buckethead-vol-1,9,1
who-killed-aliyah,0,0
trinity-sunday,6,3
chi-town,6.3,3
torrente-4-lethal-crisis,5.5,127
the-dead-center,5.6,43
panto-2014,0,0
won-ton-baby,4.2,3
the-maid-2014,3.5,14
my-husbands-secret-wife,5.7,6
parers-war,0,0
off-the-grid-2006,0,0
mental-madhilo,6.5,8
children-of-the-corn-runaway,5.2,28
crude-oil-2019,4.8,5
parliament-funkadelic-one-nation-under-a-groove,0,0
the-manual,5.7,15
grim-reaper,3,7
who-flung-poo,1,1
the-star-of-bethlehem-1912,6,1
green-street-hooligans,7.2,1794
wolf-2019,5.8,9
my-blind-brother,5.9,78
suckerpunch,3.8,4
marlon-wayans-woke-ish,6.3,41
bad-boys-ii,6.6,4225
fort-tilden,5.2,30
the-photograph-2020,6.6,154
tape-crackers-an-oral-history-of-jungle-pirate-radio,0,0
coffee-samurai,0,0
bonobo-the-north-borders-tour-live,0,0
helix,5.6,17
ashura,4.8,11
mad-sad-bad-2014,9,2
elements-of-nothing,10,1
the-den,6,248
born-with-it,0,0
what-if-wendy,0,0
bonnie-clyde-justified,6.7,28
yakuza-weapon,4.7,9
the-baron-against-the-demons,6.5,2
how-weed-won-the-west,7.3,6
momo-the-sam-giancaca-story,6,2
baseball-girl,6.9,8
grand-zero,7.3,3
in-another-country,6.4,78
clinton-road,3.2,6
vh1s-heavy-the-story-of-metal-part-one-welcome-to-my-nightmare,8.8,6
from-seoul-to-varanasi,5,3
the-back-up-plan,6.1,1170
suffering-of-ninko,5.4,6
when-i-walk,6.6,5
home-videos-2019,5.5,2
turks-caicos,6.2,96
her-composition,6.6,5
the-nightman-cometh,0,0
zato-ichi-blind-swordsman-tribute,0,0
sunnyside,6.5,63
that-kinda-night,0,0
outpost-rise-of-the-spetsnaz,5.2,38
elijahs-ashes,5,2
willie-nelson-friends-outlaws-and-angels,0,0
the-choice-2016-2016,5.6,5
wvlnt,6.3,3
sync,7.5,2
french-exit-2020,5.9,55
empty-spaces,5,1
memories-of-a-teenager,7.8,38
particles-of-truth,5.5,3
auld-lang-syne,0,0
ashes-and-snow,7.4,48
a-ballerinas-tale,6.3,26
of-sheep-and-men,5.3,4
i-love-you-daddy,5.7,60
genesis-nirvana,0,0
tarnation,7,55
city-of-joy-2016,7.3,16
be-reasonable,7.8,3
sure-did-talk-to-you-a-conversation-with-walter-coblenz-jared-hellman-and-michael-laughlin,0,0
the-disciple,3.7,3
circle-of-pain,4,17
national-lampoon-presents-electric-apricot-quest-for-festeroo,6,6
wet-woman-in-the-wind,5.8,32
the-power-of-glove,6.2,5
this-changes-everything,6.3,8
mothers-milk,7,2
my-daughter-was-stolen,7.8,6
fat-sick-nearly-dead,6.8,97
garfunkel-and-oates-trying-to-be-special,7.5,23
triple-9,5.9,1706
sybil-2007,6.7,44
the-new-tenants,6.3,18
mudjackin,0,0
home-sweet-home-2011,0,0
